Nombre,Fecha,Ubicacion,Precio,Enlace
Flipar - Jorge Blass,2023-11-30T20:00:00.000+01:00,Teatro Reina Victoria,"desde 26,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415745/
Flipar - Jorge Blass,2023-12-01T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415746/
Flipar - Jorge Blass,2023-12-02T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415747/
Flipar - Jorge Blass,2023-12-02T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415748/
Flipar - Jorge Blass,2023-12-03T18:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415749/
Flipar - Jorge Blass,2023-12-06T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415750/
Flipar - Jorge Blass,2023-12-07T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415751/
Flipar - Jorge Blass,2023-12-08T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415752/
Flipar - Jorge Blass,2023-12-08T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415753/
Flipar - Jorge Blass,2023-12-09T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415754/
Flipar - Jorge Blass,2023-12-09T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415755/
Flipar - Jorge Blass,2023-12-10T18:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415756/
Flipar - Jorge Blass,2023-12-14T20:00:00.000+01:00,Teatro Reina Victoria,"desde 20,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415757/
Flipar - Jorge Blass,2023-12-15T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415758/
Flipar - Jorge Blass,2023-12-16T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415759/
Flipar - Jorge Blass,2023-12-16T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415760/
Flipar - Jorge Blass,2023-12-17T18:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415761/
Flipar - Jorge Blass,2023-12-21T20:00:00.000+01:00,Teatro Reina Victoria,"desde 20,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415762/
Flipar - Jorge Blass,2023-12-22T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415763/
Flipar - Jorge Blass,2023-12-23T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415764/
Flipar - Jorge Blass,2023-12-23T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415765/
Flipar - Jorge Blass,2023-12-25T19:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415766/
Flipar - Jorge Blass,2023-12-26T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415767/
Flipar - Jorge Blass,2023-12-27T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415768/
Flipar - Jorge Blass,2023-12-28T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415769/
Flipar - Jorge Blass,2023-12-28T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415770/
Flipar - Jorge Blass,2023-12-29T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415771/
Flipar - Jorge Blass,2023-12-29T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415772/
Flipar - Jorge Blass,2023-12-30T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415773/
Flipar - Jorge Blass,2023-12-30T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415774/
Flipar - Jorge Blass,2024-01-01T19:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415775/
Flipar - Jorge Blass,2024-01-02T20:00:00.000+01:00,Teatro Reina Victoria,"desde 20,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415776/
Flipar - Jorge Blass,2024-01-03T20:00:00.000+01:00,Teatro Reina Victoria,"desde 20,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415777/
Flipar - Jorge Blass,2024-01-04T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415778/
Flipar - Jorge Blass,2024-01-06T19:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415779/
Flipar - Jorge Blass,2024-01-07T18:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415780/
Flipar - Jorge Blass,2024-01-10T20:00:00.000+01:00,Teatro Reina Victoria,"desde 20,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415781/
Flipar - Jorge Blass,2024-01-11T20:00:00.000+01:00,Teatro Reina Victoria,"desde 20,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415782/
Flipar - Jorge Blass,2024-01-12T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415783/
Flipar - Jorge Blass,2024-01-13T17:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415784/
Flipar - Jorge Blass,2024-01-13T20:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415785/
Flipar - Jorge Blass,2024-01-14T18:00:00.000+01:00,Teatro Reina Victoria,"desde 25,00 €",https://www.entradas.com/event/flipar-jorge-blass-teatro-reina-victoria-17415786/
MIGUEL POVEDA,2024-01-18T20:30:00.000+01:00,WiZink Center,"desde 38,50 €",https://www.entradas.com/event/miguel-poveda-wizink-center-17105655/
Es mi palabra contra la mía,2023-12-01T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17245557/
Es mi palabra contra la mía,2023-12-02T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17245558/
Es mi palabra contra la mía,2023-12-08T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17245559/
Es mi palabra contra la mía,2023-12-09T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17245560/
Es mi palabra contra la mía,2024-01-12T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17845900/
Es mi palabra contra la mía,2024-01-13T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17845901/
Es mi palabra contra la mía,2024-01-19T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17845902/
Es mi palabra contra la mía,2024-01-20T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17845903/
Es mi palabra contra la mía,2024-01-26T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17845904/
Es mi palabra contra la mía,2024-01-27T22:30:00.000+01:00,Teatro Reina Victoria,"desde 16,15 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17845905/
Es mi palabra contra la mía,2024-02-03T22:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975254/
Es mi palabra contra la mía,2024-02-09T22:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975249/
Es mi palabra contra la mía,2024-02-10T22:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975250/
Es mi palabra contra la mía,2024-02-16T22:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975251/
Es mi palabra contra la mía,2024-02-17T22:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975252/
Es mi palabra contra la mía,2024-02-23T22:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975253/
Es mi palabra contra la mía,2024-02-24T21:30:00.000+01:00,Teatro Reina Victoria,"desde 19,00 €",https://www.entradas.com/event/luis-piedrahita-es-mi-palabra-contra-la-mia-madrid-teatro-reina-victoria-17975255/
Diego el Cigala - Obras Maestras,2023-12-11T20:30:00.000+01:00,Nuevo Teatro Alcalá,"desde 55,00 €",https://www.entradas.com/event/diego-el-cigala-obras-maestras-nuevo-teatro-alcala-17652307/
Diego el Cigala - Obras Maestras,2023-12-18T20:30:00.000+01:00,Nuevo Teatro Alcalá,"desde 55,00 €",https://www.entradas.com/event/diego-el-cigala-obras-maestras-nuevo-teatro-alcala-17777263/
Sexy Zebras,2024-02-01T21:00:00.000+01:00,Sala La Riviera,"desde 18,00 €",https://www.entradas.com/event/sexy-zebras-sala-la-riviera-17577930/
