local,ubicacion,Lat&Lon
Teatro Lope de Vega,"C.Gran Vía, 57, 28013 Madrid","(40.4217903, -3.7086754)"
Bajo la Gran Carpa,,"(46.3144754, 11.0480288)"
Nuevo Teatro Alcalá,"C. de Jorge Juan, 62, 28009 Madrid",
Teatro Rialto,"C.Gran Vía, 54, 28013 Madrid","(40.421301, -3.7072389)"
WiZink Center,"Av. de Felipe II, s/n, 28009 Madrid","(40.423930600000006, -3.6742277376233554)"
Sala La Riviera,"P.º Bajo de la Virgen del Puerto, S/N, 28005 Madrid",
Sala La Paqui,"C. de Barceló, 11, Local B, 28004 Madrid",
Palacio Municipal de IFEMA MADRID,"Av. de la Capital de España, 5, 28042 Madrid","(40.461128, -3.6153329)"
The World Of Hans Zimmer: A New Dimension,,"(46.3144754, 11.0480288)"
Teatro La Latina,"Pl. de la Cebada, 2, 28005 Madrid","(40.4115711, -3.708772971526286)"
Sala Siroco,"C. de San Dimas, 3, 28015 Madrid","(40.4269196, -3.7077365)"
Teatro Amaya,"P.º del Gral. Martínez Campos, 9, 28010 Madrid",
Teatro Arlequín Gran Vía,"C. de San Bernardo, 5, 28013 Madrid","(40.4211706, -3.7082023)"
Parque Enrique Tierno Galván,"C. Meneses, 4, 28045 Madrid","(40.39194595, -3.682049206937865)"
Teatro Maravillas,"C. de Manuela Malasaña, 6, 28004 Madrid","(40.4286867, -3.7029629)"
Aeródromo de Cuatro Vientos,,"(46.3144754, 11.0480288)"
Teatro Lara - Sala Cándido Lara,"Corre. Baja de San Pablo, 15, 28004 Madrid",
Teatro Muñoz Seca,"Pl. del Carmen, 1, 28013 Madrid","(40.4183658, -3.7032747)"
Teatro EDP Gran Vía,"C.Gran Vía, 66, 28013 Madrid","(40.4223279, -3.7088585)"
Recinto Ferial de IFEMA - Madrid,"Av. del Partenón, 5, 28042 Madrid","(40.46749475, -3.619366805586629)"
Pica Pica - Bailando,,"(46.3144754, 11.0480288)"
Teatro Diéguez,"C. del Convento, 5, 28380 Colmenar de Oreja, Madrid","(40.1080956, -3.3909903)"
Teatro Coliseum,"C.Gran Vía, 78, 28013 Madrid","(40.4232626, -3.7103414)"
Sala El Sol,"C. de los Jardines, 3, 28013 Madrid","(40.4189626, -3.7015174)"
Sala Capitol,"C.Gran Vía, 41, 28013 Madrid","(40.42038, -3.7064736)"
Teatro Reina Victoria,"Cra de S. Jerónimo, 24, 28014 Madrid","(40.4165111, -3.6997485)"
OBK,,"(46.3144754, 11.0480288)"
Gruta 77,"C. Cuclillo, 6, 28019 Madrid","(40.3909513, -3.7314889)"
Gran Teatro CaixaBank Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid",
Cívitas Metropolitano,"Av. de Luis Aragonés, 4, 28022 Madrid","(40.4473145, -3.6054987)"
Sala Villanos,"C. de Bernardino Obregón, 18, 28012 Madrid","(40.4039493, -3.700223878354424)"
Teatro Bellas Artes,"C. del Marqués de Casa Riera, 2, 28014 Madrid","(40.4181727, -3.6963263)"
Teatro Alcázar,"C. de Alcalá, 20, 28014 Madrid","(40.41762175, -3.6989692917634684)"
Recinto Ferial de IFEMA Madrid,"Av. del Partenón, 5, 28042 Madrid","(40.46749475, -3.619366805586629)"
Umusic Hotel Teatro Albéniz,"C. de la Paz, 11, 28012 Madrid","(40.41541665, -3.70376099971941)"
Teatro Infanta Isabel,"C. del Barquillo, 24, 28004 Madrid","(40.4222263, -3.6955919)"
PAX Madrid,"C.Gran Vía, 13, 28013 Madrid","(40.4196567, -3.6998135)"
The Music Station Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid",
Sala Shôko,"C. de Toledo, 86, 28005 Madrid","(40.40881795, -3.7108497418300646)"
Pabellón De Cristal Casa De Campo,"Pabellón De Cristal, Avenida Principal, 16, 28011 Madrid",
Teatro Monumental,"C. de Atocha, 65, 28012 Madrid","(40.4124685, -3.6991495)"
