,Unnamed: 0,restaurante,gastronomia,precio,opinion,reseña,ubicacion,punto,barrio,lat,long
0,0,Yakiniku Rikyu,Japonesa,Medio,267 opiniones,Patrocinado,"P.º de la Castellana, 15, 28046 Madrid",POINT (-3.690173 40.4280979),Almagro,40.4280979,-3.690173
1,1,marmitón,Mediterránea,Medio,89 opiniones,MICHELIN,"C. de las Aguas, 6, 28005 Madrid",POINT (-3.712107746868964 40.4108219),Palacio,40.4108219,-3.712107746868964
2,2,Vinoteca Moratín,Internacional,Medio,1221 opiniones,MICHELIN,"C. de Moratín, 36, 28014 Madrid",POINT (-3.6954412113077497 40.412472050000005),Cortes,40.412472050000005,-3.6954412113077497
3,3,Pilar Akaneya,Japonesa,Alto,276 opiniones,MICHELIN,"C. de Espronceda, 33, 28003 Madrid",POINT (-3.696109 40.4405573),Rios Rosas,40.4405573,-3.696109
4,4,Gioia,Italiana,Medio,387 opiniones,MICHELIN,"C. de San Bartolomé, 23, 28004 Madrid",POINT (-3.6983792 40.4221651),Justicia,40.4221651,-3.6983792
5,5,Noi Ristorante,Italiana,Medio,244 opiniones,MICHELIN,"C. de Recoletos, 6, 28001 Madrid",POINT (-3.6906004 40.4220139),Recoletos,40.4220139,-3.6906004
6,6,Mudrá Plant Based Recoletos,Internacional,Medio,67 opiniones,MICHELIN,"C. de Recoletos, 13, 28001 Madrid",POINT (-3.6898244 40.4218211),Recoletos,40.4218211,-3.6898244
7,7,La MaMá Restaurante,Mediterránea,Medio,225 opiniones,MICHELIN,"6 bis, Parque, Av. de Brasil, 28020 Madrid",POINT EMPTY,No encontrado,,
8,8,Sisapo,Mediterránea,Medio,71 opiniones,MICHELIN,"C. de Trafalgar, 14, 28010 Madrid",POINT (-3.7004566 40.4318711),Trafalgar,40.4318711,-3.7004566
9,9,RECREO Espartinas,Mediterránea,Medio,366 opiniones,MICHELIN,"C. de Espartinas, Nº 5, 28001 Madrid",POINT EMPTY,No encontrado,,
10,10,Miyama,Japonesa,Alto,837 opiniones,MICHELIN,No disponible,POINT EMPTY,No encontrado,,
11,11,Deessa,Mediterránea,Alto,52 opiniones,MICHELIN,"Pl. de la Lealtad, 5, 28014 Madrid",POINT (-3.692725530645917 40.41555015),Cortes,40.41555015,-3.692725530645917
12,12,Hotaru Madrid,Japonesa,Alto,199 opiniones,MICHELIN,"C. de Alcalá, 99, 28009 Madrid",POINT (-3.6834669 40.421502),Jerónimos,40.421502,-3.6834669
13,13,Yugo the Bunker,Japonesa,Alto,342 opiniones,MICHELIN,"Calle de San Blas, 4, 28014 Madrid",POINT (-3.6938335 40.410375),Embajadores,40.410375,-3.6938335
14,14,Coque,Internacional,Alto,476 opiniones,MICHELIN,No disponible,POINT EMPTY,No encontrado,,
15,15,El pedrusco de Aldealcorvo,Internacional,Medio,223 opinionesCierra en 6 minutos,MICHELIN,"C. de Juan de Austria, 27, 28010 Madrid",POINT (-3.7000495 40.4339433),Trafalgar,40.4339433,-3.7000495
16,16,KABUKI WELLINGTON SL,Japonesa,Alto,974 opiniones,MICHELIN,"C. de Velázquez, 6, 28001 Madrid",POINT (-3.6841825 40.4217715),Jerónimos,40.4217715,-3.6841825
17,17,Kabuki,Japonesa,Alto,725 opiniones,MICHELIN,No disponible,POINT EMPTY,No encontrado,,
18,18,Restaurante Lakasa,Mediterránea,Medio,1161 opiniones,MICHELIN,"Pl. del Descubridor Diego de Ordás, 1, 28003 Madrid",POINT (-3.7007791 40.4408805),Rios Rosas,40.4408805,-3.7007791
19,19,Bardero,Mediterránea,Medio,106 opiniones,Comida espectacular por 37€ por persona,"Palos de la Frontera, 11, 28012 Madrid",POINT (-3.694602 40.4039759),Palos de Moguer,40.4039759,-3.694602
20,20,Pizzart Fuencarral,Italiana,Medio,940 opiniones,Excelente comida,"Calle de Fuencarral, 58, 28004 Madrid",POINT (-3.7005775 40.4240282),Universidad,40.4240282,-3.7005775
21,21,Ornella Velázquez,Italiana,Medio,2317 opiniones,La parmigiana de la nonna y la atencion 10/10,"C. de Velázquez, 18, 28001 Madrid",POINT (-3.6841057 40.4233344),Recoletos,40.4233344,-3.6841057
22,22,Lettera Trattoria moderna,Italiana,Medio,1564 opiniones,Muy recomendable,"C. de la Reina, 20, 28004 Madrid",POINT (-3.6981938 40.4197308),Cortes,40.4197308,-3.6981938
23,23,Pizzart Villa Canalejas,Italiana,Medio,901 opiniones,Magnifico,"C. de Arlabán, 1, 28014 Madrid",POINT (-3.6995917 40.4170322),Cortes,40.4170322,-3.6995917
24,24,Pummarola,Italiana,Medio,605 opiniones,8 km,"Av. de Europa, 17, 28224 Pozuelo de Alarcón, Madrid",POINT (-3.789951 40.4444685),No encontrado,40.4444685,-3.789951
25,25,Brunchit Malasaña,Café,Medio,548 opiniones,Buen brunch,"C. del Noviciado, 12, 28015 Madrid",POINT EMPTY,No encontrado,,
26,26,Ouh...Babbo!,Italiana,Medio,665 opiniones,Comida deliciosa a precio ajustado,"C. de los Caños del Peral, 2, 28013 Madrid",POINT EMPTY,No encontrado,,
27,27,Restaurante Excalibur Madrid,Restaurante de carne,Medio,170 opiniones,Espectáculo,"C. de Martín de los Heros, 28, 28008 Madrid",POINT (-3.7146245 40.4257675),Casa de Campo,40.4257675,-3.7146245
28,28,Rigatoni,Italiana,Medio,250 opiniones,15.5 km,"C. de Boadilla, 8, 28220 Majadahonda, Madrid",POINT (-3.852097 40.4723325),No encontrado,40.4723325,-3.852097
29,29,Davanti Food & Market,Italiana,Medio,413 opiniones,"Buena comida, local muy agradable","C. de Augusto Figueroa, 41, 28004 Madrid",POINT (-3.6968794 40.4220975),Justicia,40.4220975,-3.6968794
30,30,Entre Santos Madrid,Mediterránea,Medio,1346 opiniones,Buen ambiente. Coctelería estupenda,"C. de San Bartolomé, 4, 28004 Madrid",POINT (-3.6986687 40.4213536),Justicia,40.4213536,-3.6986687
31,31,Trattoria Malatesta,Italiana,Medio,2138 opiniones,Auténtica pizza italiana,"Trattoria Malatesta, C. de los Coloreros, 5, 28013 Madrid",POINT (-3.707066 40.416551),Sol,40.416551,-3.707066
32,32,Minelli 1960,Italiana,Medio,111 opiniones,Italiano imprescindible,"Cl. de Ayala, 140, 28006 Madrid",POINT (-3.6721896 40.4270602),Goya,40.4270602,-3.6721896
33,33,Oven Mozzarella Gran Vía 6,Italiana,Medio,5337 opiniones,Genial,"C.Gran Vía, 6, 28013 Madrid",POINT (-3.6979191 40.4193615),Cortes,40.4193615,-3.6979191
34,34,Lab '84,Italiana,Medio,75 opiniones,Muy Fan de este lugar.,No disponible,POINT EMPTY,No encontrado,,
35,35,Sibuya Urban Sushi Bar Madrid C/Orense,Japonesa,Medio,871 opiniones,La comida y el servicio,"C. de Orense, 11, 28020 Madrid",POINT (-3.6947608 40.4551425),Cuatro Caminos,40.4551425,-3.6947608
