restaurante,gastronomia,precio,opinion,reseña,ubicacion,Lat&Lon
Yakiniku Rikyu,Japonesa,Medio,267 opiniones,Patrocinado,"P.º de la Castellana, 15, 28046 Madrid","(40.4280979, -3.690173)"
marmitón,Mediterránea,Medio,89 opiniones,MICHELIN,"C. de las Aguas, 6, 28005 Madrid","(40.4108219, -3.712107746868964)"
Vinoteca Moratín,Internacional,Medio,1221 opiniones,MICHELIN,"C. de Moratín, 36, 28014 Madrid","(40.412472050000005, -3.6954412113077497)"
Pilar Akaneya,Japonesa,Alto,276 opiniones,MICHELIN,"C. de Espronceda, 33, 28003 Madrid","(40.4405573, -3.696109)"
Gioia,Italiana,Medio,387 opiniones,MICHELIN,"C. de San Bartolomé, 23, 28004 Madrid","(40.4221651, -3.6983792)"
Noi Ristorante,Italiana,Medio,244 opiniones,MICHELIN,"C. de Recoletos, 6, 28001 Madrid","(40.4220139, -3.6906004)"
Mudrá Plant Based Recoletos,Internacional,Medio,67 opiniones,MICHELIN,"C. de Recoletos, 13, 28001 Madrid","(40.4218211, -3.6898244)"
La MaMá Restaurante,Mediterránea,Medio,225 opiniones,MICHELIN,"6 bis, Parque, Av. de Brasil, 28020 Madrid",
Sisapo,Mediterránea,Medio,71 opiniones,MICHELIN,"C. de Trafalgar, 14, 28010 Madrid","(40.4318711, -3.7004566)"
RECREO Espartinas,Mediterránea,Medio,366 opiniones,MICHELIN,"C. de Espartinas, Nº 5, 28001 Madrid",
Miyama,Japonesa,Alto,837 opiniones,MICHELIN,,"(44.933143, 7.540121)"
Deessa,Mediterránea,Alto,52 opiniones,MICHELIN,"Pl. de la Lealtad, 5, 28014 Madrid","(40.41555015, -3.692725530645917)"
Hotaru Madrid,Japonesa,Alto,199 opiniones,MICHELIN,"C. de Alcalá, 99, 28009 Madrid","(40.421502, -3.6834669)"
Yugo the Bunker,Japonesa,Alto,342 opiniones,MICHELIN,"Calle de San Blas, 4, 28014 Madrid","(40.410375, -3.6938335)"
Coque,Internacional,Alto,476 opiniones,MICHELIN,,"(44.933143, 7.540121)"
El pedrusco de Aldealcorvo,Internacional,Medio,223 opinionesCierra en 6 minutos,MICHELIN,"C. de Juan de Austria, 27, 28010 Madrid","(40.4339433, -3.7000495)"
KABUKI WELLINGTON SL,Japonesa,Alto,974 opiniones,MICHELIN,"C. de Velázquez, 6, 28001 Madrid","(40.4217715, -3.6841825)"
Kabuki,Japonesa,Alto,725 opiniones,MICHELIN,,"(44.933143, 7.540121)"
Restaurante Lakasa,Mediterránea,Medio,1161 opiniones,MICHELIN,"Pl. del Descubridor Diego de Ordás, 1, 28003 Madrid","(40.4408805, -3.7007791)"
Bardero,Mediterránea,Medio,106 opiniones,Comida espectacular por 37€ por persona,"Palos de la Frontera, 11, 28012 Madrid","(40.4039759, -3.694602)"
Pizzart Fuencarral,Italiana,Medio,940 opiniones,Excelente comida,"Calle de Fuencarral, 58, 28004 Madrid","(40.4240282, -3.7005775)"
Ornella Velázquez,Italiana,Medio,2317 opiniones,La parmigiana de la nonna y la atencion 10/10,"C. de Velázquez, 18, 28001 Madrid","(40.4233344, -3.6841057)"
Lettera Trattoria moderna,Italiana,Medio,1564 opiniones,Muy recomendable,"C. de la Reina, 20, 28004 Madrid","(40.4197308, -3.6981938)"
Pizzart Villa Canalejas,Italiana,Medio,901 opiniones,Magnifico,"C. de Arlabán, 1, 28014 Madrid","(40.4170322, -3.6995917)"
Pummarola,Italiana,Medio,605 opiniones,8 km,"Av. de Europa, 17, 28224 Pozuelo de Alarcón, Madrid","(40.4444685, -3.789951)"
Brunchit Malasaña,Café,Medio,548 opiniones,Buen brunch,"C. del Noviciado, 12, 28015 Madrid",
Ouh...Babbo!,Italiana,Medio,665 opiniones,Comida deliciosa a precio ajustado,"C. de los Caños del Peral, 2, 28013 Madrid",
Restaurante Excalibur Madrid,Restaurante de carne,Medio,170 opiniones,Espectáculo,"C. de Martín de los Heros, 28, 28008 Madrid","(40.4257675, -3.7146245)"
Rigatoni,Italiana,Medio,250 opiniones,15.5 km,"C. de Boadilla, 8, 28220 Majadahonda, Madrid","(40.4723325, -3.852097)"
Davanti Food & Market,Italiana,Medio,413 opiniones,"Buena comida, local muy agradable","C. de Augusto Figueroa, 41, 28004 Madrid","(40.4220975, -3.6968794)"
Entre Santos Madrid,Mediterránea,Medio,1346 opiniones,Buen ambiente. Coctelería estupenda,"C. de San Bartolomé, 4, 28004 Madrid","(40.4213536, -3.6986687)"
Trattoria Malatesta,Italiana,Medio,2138 opiniones,Auténtica pizza italiana,"Trattoria Malatesta, C. de los Coloreros, 5, 28013 Madrid","(40.416551, -3.707066)"
Minelli 1960,Italiana,Medio,111 opiniones,Italiano imprescindible,"Cl. de Ayala, 140, 28006 Madrid","(40.4270602, -3.6721896)"
Oven Mozzarella Gran Vía 6,Italiana,Medio,5337 opiniones,Genial,"C.Gran Vía, 6, 28013 Madrid","(40.4193615, -3.6979191)"
Lab '84,Italiana,Medio,75 opiniones,Muy Fan de este lugar.,,"(44.933143, 7.540121)"
Sibuya Urban Sushi Bar Madrid C/Orense,Japonesa,Medio,871 opiniones,La comida y el servicio,"C. de Orense, 11, 28020 Madrid","(40.4551425, -3.6947608)"
Gustazio Gastrobar,Italiana,Medio,237 opiniones,La mejor pizza que puedas comer (al menos en Madrid),"C. de Embajadores, 197, 28045 Madrid","(40.3883103, -3.6910665)"
Smok Mok,Japonesa,Bajo,103 opiniones,Increíble!!!!,"Calle del Dr Cortezo, 10, 28012 Madrid","(40.41308265, -3.703991681218869)"
Piccola Napoli,Italiana,Bajo,500 opiniones,Comida muy rica y a buen precio,,"(44.933143, 7.540121)"
Da Luca,Italiana,Medio,451 opiniones,14.6 km,,"(44.933143, 7.540121)"
Il Pizzaiolo,Italiana,Medio,929 opiniones,Gran descubrimiento,"C/ de Hortaleza, 84, 28004 Madrid","(40.4237578, -3.6985395)"
Pastamore,Italiana,Medio,1024 opiniones,Deliciosa la comida,"C. de Alcalá, 191, 28009 Madrid","(40.4276705, -3.6699464)"
Oven Mozzarella,Italiana,Medio,712 opiniones,Excelente como siempre,,"(44.933143, 7.540121)"
Gourmet Experience Gran Vía,Japonesa,Medio,1029 opiniones,Gran via,"Comercial El Corte Inglés, Pl. del Callao, 2, 9ª planta Centro, 28013 Madrid",
Proverbium,Italiana,Medio,302 opiniones,15 km,"C. de los Mártires, 19, 28660 Boadilla del Monte, Madrid","(40.4082737, -3.8772492)"
Dans Le Noir ?,Mediterránea,Alto,460 opiniones,Muy buena experiencia!,"Pl. del Biombo, 5, 28013 Madrid","(40.4160083, -3.711420090625)"
Kamado Asian Food X-Madrid,Asiática,Medio,229 opiniones,15 km,"C. Oslo, 53, 28922 Alcorcón, Madrid","(40.33970455, -3.8476277532704177)"
PICCOLO DIAVOLO,Italiana,Medio,689 opiniones,Restaurante italiano Madrid,"C. de Fúcar, 11, 28014 Madrid","(40.4114617, -3.6955698)"
Raza Madrid,Restaurante de carne,Alto,188 opiniones,Bien pero sorpresa,,"(44.933143, 7.540121)"
Eatmytrip Brunch & Cocktails Madrid,Americana,Medio,203 opiniones,100% Recomendado,,"(44.933143, 7.540121)"
Pizzeria Vesuvio -Hortaleza,Italiana,Bajo,796 opiniones,"Muy recomendable,personal amable","C/ de Hortaleza, 4, 28004 Madrid","(40.4205983, -3.7006627)"
BLoved,Internacional,Medio,475 opiniones,Cuqui,"C.Gran Vía, 9, 28013 Madrid","(40.4194531, -3.6990703)"
Trattoria Pulcinella,Italiana,Medio,2786 opiniones,Cena con amigos,"C. de Regueros, 7, 28004 Madrid","(40.4246294, -3.6965193)"
Oven Mozzarella Bar Fuencarral,Italiana,Medio,4135 opiniones,Cena exquisita,"Calle de Fuencarral, 74, 28004 Madrid","(40.4251706, -3.7007733)"
Pizzie & Dixie,Italiana,Medio,210 opiniones,Comida sin gluten y vegana,"C. de San Vicente Ferrer, 16, 28004 Madrid","(40.4257159, -3.702929)"
Fiaschetteria La Saletta,Italiana,Bajo,298 opiniones,Perfecta opción de cocina italiana autentica,"C. de Sta. Isabel, 5, 2nd floor, 28012 Madrid",
Ronda 14,Japonesa,Medio,983 opiniones,Excelente cena familiar,,"(44.933143, 7.540121)"
Bombardino Café,Italiana,Medio,353 opiniones,Experiencia inolvodable,,"(44.933143, 7.540121)"
Matilda,Café y té,Bajo,760 opiniones,"Buen trato, rica comida",,"(44.933143, 7.540121)"
Oliveto,Italiana,Medio,380 opiniones,"Todo muy bueno, solo he echado de menos algún tipo de ensalada. Por lo demás acogedor, buen trato y muy familiar.","C. de Sta. Isabel, 45, 28012 Madrid","(40.4097721, -3.6964775)"
Etnico Madrid,Bares y pubs,Medio,141 opiniones,Excelente cocteleriaBar,,"(44.933143, 7.540121)"
La General Bistró & Café,Café y té,Medio,403 opiniones,BBB,"C. del Planeta, 3, 28042 Madrid","(40.2260137, -3.7580724)"
Araldo Arte del Gusto,Italiana,Medio,211 opiniones,Restaurante italiano de calidad.materia prima de primera calidad.,"C. de los Madrazo, 5, 28014 Madrid","(40.4176169, -3.698063488576339)"
Ristorante Reginella,Italiana,Medio,681 opiniones,Masa aireada y sabrosa pizza,"Calle de Modesto Lafuente, 76, 28003 Madrid","(40.4414475, -3.6960349)"
Eatmytrip Brunch & Dinner Madrid,Americana,Medio,62 opiniones,También tienen cenas los fines de semana y están genial!!,,"(44.933143, 7.540121)"
Menomale,Italiana,Medio,204 opiniones,Maravilla,"C. de San Bernardo, 85, 28015 Madrid","(40.4284441, -3.7063184)"
Casa Crimi,Italiana,Medio,32 opiniones,"Espectacular, como siempre","P.º del Marqués de Zafra, 44, 28028 Madrid","(40.425140999999996, -3.6628612439346835)"
Mamúa Café Bar. Specialty coffee,Café,Bajo,129 opiniones,FANTASTICO,"Pl. de Cascorro, 7, 28005 Madrid","(40.4102866, -3.7071215)"
Pizzart Villa Luchana,Italiana,Medio,775 opiniones,Buena vibra ✨,"C. de Luchana, 17, 28010 Madrid","(40.430298500000006, -3.7007008808428026)"
Dr Limon,Café,Medio,81 opiniones,Totalmente recomendable,,"(44.933143, 7.540121)"
Filu e Ferru,Italiana,Medio,37 opiniones,Cocina sarda en Madrid,"C. de San Joaquín, 5, 28004 Madrid","(40.4245501, -3.7014272)"
Latasia,Peruana,Medio,480 opiniones,Buenísimo,"P.º de la Castellana, 115, 28046 Madrid","(40.4568559, -3.6907533)"
