restaurante,ubicacion,Lat&Lon
Yakiniku Rikyu,"P.º de la Castellana, 15, 28046 Madrid","(40.4280979, -3.690173)"
marmitón,"C. de las Aguas, 6, 28005 Madrid","(40.4108219, -3.712107746868964)"
Vinoteca Moratín,"C. de Moratín, 36, 28014 Madrid","(40.412472050000005, -3.6954412113077497)"
Pilar Akaneya,"C. de Espronceda, 33, 28003 Madrid","(40.4405573, -3.696109)"
Gioia,"C. de San Bartolomé, 23, 28004 Madrid","(40.4221651, -3.6983792)"
Noi Ristorante,"C. de Recoletos, 6, 28001 Madrid","(40.4220139, -3.6906004)"
Mudrá Plant Based Recoletos,"C. de Recoletos, 13, 28001 Madrid","(40.4218211, -3.6898244)"
La MaMá Restaurante,"6 bis, Parque, Av. de Brasil, 28020 Madrid",
Sisapo,"C. de Trafalgar, 14, 28010 Madrid","(40.4318711, -3.7004566)"
RECREO Espartinas,"C. de Espartinas, Nº 5, 28001 Madrid",
Miyama,None,"(44.933143, 7.540121)"
Deessa,"Pl. de la Lealtad, 5, 28014 Madrid","(40.41555015, -3.692725530645917)"
Hotaru Madrid,"C. de Alcalá, 99, 28009 Madrid","(40.421502, -3.6834669)"
Yugo the Bunker,"Calle de San Blas, 4, 28014 Madrid","(40.410375, -3.6938335)"
Coque,None,"(44.933143, 7.540121)"
El pedrusco de Aldealcorvo,"C. de Juan de Austria, 27, 28010 Madrid","(40.4339433, -3.7000495)"
KABUKI WELLINGTON SL,"C. de Velázquez, 6, 28001 Madrid","(40.4217715, -3.6841825)"
Kabuki,None,"(44.933143, 7.540121)"
Restaurante Lakasa,"Pl. del Descubridor Diego de Ordás, 1, 28003 Madrid","(40.4408805, -3.7007791)"
Bardero,"Palos de la Frontera, 11, 28012 Madrid","(40.4039759, -3.694602)"
Pizzart Fuencarral,"Calle de Fuencarral, 58, 28004 Madrid","(40.4240282, -3.7005775)"
Ornella Velázquez,"C. de Velázquez, 18, 28001 Madrid","(40.4233344, -3.6841057)"
Lettera Trattoria moderna,"C. de la Reina, 20, 28004 Madrid","(40.4197308, -3.6981938)"
Pizzart Villa Canalejas,"C. de Arlabán, 1, 28014 Madrid","(40.4170322, -3.6995917)"
Pummarola,"Av. de Europa, 17, 28224 Pozuelo de Alarcón, Madrid","(40.4444685, -3.789951)"
